Year,Industry,Industry code,Avg_Estimate
2023,Finance and insurance,520000,44.75
2023,Financial activities,520A00,37.42857142857143
2023,Goods-producing,G00000,31.333333333333332
2023,Health care and social assistance,620000,58.333333333333336
2023,Hospitals,622000,83.0
2023,Information,510000,45.857142857142854
2023,Insurance carriers,524000,54.357142857142854
2023,"Junior colleges, colleges, universities, and professional schools",612000,69.17647058823529
2023,Leisure and hospitality,700000,33.92307692307692
2023,Manufacturing,300000,27.692307692307693
2023,Other services (except public administration),810000,31.727272727272727
2023,Professional and business services,540A00,46.0
2023,"Professional, scientific, and technical services",540000,32.166666666666664
2023,Public administration,920000,65.81818181818181
2023,Real estate and rental and leasing,530000,36.6
2023,Retail trade,412000,30.53846153846154
2023,Service-providing,S00000,57.27777777777778
2023,"Trade, transportation, and utilities",400000,41.69230769230769
2023,Transportation and warehousing,430000,67.9090909090909
2023,Utilities,220000,98.0
2023,Wholesale trade,420000,31.545454545454547
